Country,1.4.1_SP_ACS_BSRVH2O__ALLAREA__2019,1.4.1_SP_ACS_BSRVH2O__ALLAREA__Delta,1.4.1_SP_ACS_BSRVSAN__ALLAREA__2019,1.4.1_SP_ACS_BSRVSAN__ALLAREA__Delta,3.2.1_SH_DYN_IMRT_FEMALE__<1Y_2019,3.2.1_SH_DYN_IMRT_FEMALE__<1Y_Delta,3.2.1_SH_DYN_IMRT_BOTHSEX__<1Y_2019,3.2.1_SH_DYN_IMRT_BOTHSEX__<1Y_Delta,3.2.1_SH_DYN_IMRT_MALE__<1Y_2019,3.2.1_SH_DYN_IMRT_MALE__<1Y_Delta,3.2.1_SH_DYN_IMRTN_BOTHSEX__<1Y_2019,3.2.1_SH_DYN_IMRTN_BOTHSEX__<1Y_Delta,3.2.1_SH_DYN_IMRTN_FEMALE__<1Y_2019,3.2.1_SH_DYN_IMRTN_FEMALE__<1Y_Delta,3.2.1_SH_DYN_IMRTN_MALE__<1Y_2019,3.2.1_SH_DYN_IMRTN_MALE__<1Y_Delta,3.2.1_SH_DYN_MORT_MALE__<5Y_2019,3.2.1_SH_DYN_MORT_MALE__<5Y_Delta,3.2.1_SH_DYN_MORT_BOTHSEX__<5Y_2019,3.2.1_SH_DYN_MORT_BOTHSEX__<5Y_Delta,3.2.1_SH_DYN_MORT_FEMALE__<5Y_2019,3.2.1_SH_DYN_MORT_FEMALE__<5Y_Delta,3.2.1_SH_DYN_MORTN_BOTHSEX__<5Y_2019,3.2.1_SH_DYN_MORTN_BOTHSEX__<5Y_Delta,3.2.1_SH_DYN_MORTN_MALE__<5Y_2019,3.2.1_SH_DYN_MORTN_MALE__<5Y_Delta,3.2.1_SH_DYN_MORTN_FEMALE__<5Y_2019,3.2.1_SH_DYN_MORTN_FEMALE__<5Y_Delta,3.2.2_SH_DYN_NMRT_BOTHSEX__<1M_2019,3.2.2_SH_DYN_NMRT_BOTHSEX__<1M_Delta,3.2.2_SH_DYN_NMRTN_BOTHSEX__<1M_2019,3.2.2_SH_DYN_NMRTN_BOTHSEX__<1M_Delta,3.3.2_SH_TBS_INCD____2019,3.3.2_SH_TBS_INCD____Delta,6.2.1_SH_SAN_DEFECT__ALLAREA__2019,6.2.1_SH_SAN_DEFECT__ALLAREA__Delta,6.6.1_EN_LKRV_PWAC____2019,6.6.1_EN_LKRV_PWAC____Delta,6.6.1_EN_LKRV_PWAN____2019,6.6.1_EN_LKRV_PWAN____Delta,6.6.1_EN_LKRV_PWAP____2019,6.6.1_EN_LKRV_PWAP____Delta,6.6.1_EN_LKRV_SWAC____2019,6.6.1_EN_LKRV_SWAC____Delta,6.6.1_EN_LKRV_SWAN____2019,6.6.1_EN_LKRV_SWAN____Delta,6.6.1_EN_LKRV_SWAP____2019,6.6.1_EN_LKRV_SWAP____Delta,6.6.1_EN_RSRV_MNWAN____2019,6.6.1_EN_RSRV_MNWAN____Delta,6.6.1_EN_RSRV_MNWAP____2019,6.6.1_EN_RSRV_MNWAP____Delta,6.6.1_EN_RSRV_MXWAN____2019,6.6.1_EN_RSRV_MXWAN____Delta,6.6.1_EN_RSRV_MXWAP____2019,6.6.1_EN_RSRV_MXWAP____Delta,7.1.1_EG_ACS_ELEC__ALLAREA__2019,7.1.1_EG_ACS_ELEC__ALLAREA__Delta,7.1.1_EG_ACS_ELEC__URBAN__2019,7.1.1_EG_ACS_ELEC__URBAN__Delta,7.2.1_EG_FEC_RNEW____2019,7.2.1_EG_FEC_RNEW____Delta,7.3.1_EG_EGY_PRIM____2019,7.3.1_EG_EGY_PRIM____Delta,8.1.1_NY_GDP_PCAP____2019,8.1.1_NY_GDP_PCAP____Delta,8.4.2_EN_MAT_DOMCMPC____2019,8.4.2_EN_MAT_DOMCMPC____Delta,8.4.2_EN_MAT_DOMCMPG____2019,8.4.2_EN_MAT_DOMCMPG____Delta,8.4.2_EN_MAT_DOMCMPT____2019,8.4.2_EN_MAT_DOMCMPT____Delta,9.2.1_NV_IND_MANF____2019,9.2.1_NV_IND_MANF____Delta,9.2.1_NV_IND_MANF_CD____2019,9.2.1_NV_IND_MANF_CD____Delta,9.2.1_NV_IND_MANFPC____2019,9.2.1_NV_IND_MANFPC____Delta,10.7.4_SM_POP_REFG_OR____2019,10.7.4_SM_POP_REFG_OR____Delta,10.a.1_TM_TRF_ZERO____2019,10.a.1_TM_TRF_ZERO____Delta,11.6.2_EN_ATM_PM25__URBAN__2019,11.6.2_EN_ATM_PM25__URBAN__Delta,11.6.2_EN_ATM_PM25__ALLAREA__2019,11.6.2_EN_ATM_PM25__ALLAREA__Delta,11.6.2_EN_ATM_PM25__TSUB__2019,11.6.2_EN_ATM_PM25__TSUB__Delta,11.6.2_EN_ATM_PM25__RURAL__2019,11.6.2_EN_ATM_PM25__RURAL__Delta,15.1.1_AG_LND_FRST____2019,15.1.1_AG_LND_FRST____Delta,15.1.1_AG_LND_FRSTN____2019,15.1.1_AG_LND_FRSTN____Delta,15.1.1_AG_LND_TOTL____2019,15.1.1_AG_LND_TOTL____Delta,15.1.2_ER_PTD_TERR____2019,15.1.2_ER_PTD_TERR____Delta,15.2.1_AG_LND_FRSTBIOPHA____2019,15.2.1_AG_LND_FRSTBIOPHA____Delta,15.2.1_AG_LND_FRSTCERT____2019,15.2.1_AG_LND_FRSTCERT____Delta,15.5.1_ER_RSK_LST____2019,15.5.1_ER_RSK_LST____Delta,15.6.1_ER_CBD_ORSPGRFA____2019,15.6.1_ER_CBD_ORSPGRFA____Delta,15.6.1_ER_CBD_PTYPGRFA____2019,15.6.1_ER_CBD_PTYPGRFA____Delta,15.6.1_ER_CBD_SMTA____2019,15.6.1_ER_CBD_SMTA____Delta,17.11.1_TX_EXP_GBMRCH____2019,17.11.1_TX_EXP_GBMRCH____Delta,17.11.1_TX_IMP_GBMRCH____2019,17.11.1_TX_IMP_GBMRCH____Delta,17.12.1_TM_TAX_DMFN____2019,17.12.1_TM_TAX_DMFN____Delta,17.12.1_TM_TAX_DPRF____2019,17.12.1_TM_TAX_DPRF____Delta,17.13.1_NY_GDP_MKTP_KD_ZG____2019,17.13.1_NY_GDP_MKTP_KD_ZG____Delta,17.13.1_PA_NUS_ATLS____2019,17.13.1_PA_NUS_ATLS____Delta,17.13.1_TG_VAL_TOTL_GD_ZS____2019,17.13.1_TG_VAL_TOTL_GD_ZS____Delta,17.3.1_GF_FRN_FDI____2019,17.3.1_GF_FRN_FDI____Delta,Required Imputes,Percent Imputed,Population Index,Population,Class Label
Belarus,98.39199,0.01799,99.34076,0.48849,2.1,-0.1,2.4,-0.1,2.6,-0.2,222,-32,95,-14,127,-18,3.5,-0.3,3.1,-0.3,2.7,-0.2,310,-42,178,-25,132,-17,1.1,-0.1,102,-16,29,-2,0,0,13.45125602,1.29959558,13351.30417,29.35105372,0.015754863,0.000137158,90.99487346,10.2055422,5019.632629,183.4579999,0.006774098,0.000188415,1823.06706,3.64019623,0.002456776,-1.64E-07,2076.119175,6.885213552,0.002806776,8.31E-06,100,0.7,100,0.3,7.81,0.6,5.97,-0.32,1.67,-1.61,1.357196923,0.001431538,0.217552308,-0.002478462,12828790.62,13269.46065,22.39,-0.04,21.64,0.38,1367.52,19.98,35.43909,-0.94735,64.20257,-3.182742857,17.1875,-0.70623,15.48201,-0.60747,14.67185,-0.58176,13.40596,-0.52317,43.13,0.08,8753.1,14.5,20296.5,-1.5,87.90428,0,154.6,2.3,9250.7,-104.06,0.96996,0.00079,0,0,0,0,27,1,0.17332,0.0008,0.20415,0.01035,5.887071667,0.006095,5.6257,0.011175,1.4,-1.7492,2.0918,0.0542,112.4552,-7.70719,1293.1,-127.9,20,0.158730159,97,9534955,0
Canada,99.22165,-0.00198,98.75733,-0.08421,4.2,-0.1,4.5,-0.1,4.8,-0.1,1659,-38,750,-19,909,-19,5.5,-0.1,5.2,0,4.8,-0.1,1897,-44,1042,-22,855,-22,3.4,-0.1,1251,-24,5.9,0.3,0,0,0.64594,-0.05815,916637.8144,-529.61154,0.10224,-6.00E-05,28.23856,2.97334,89733.40818,2080.55867,0.01001,0.00023,1823.06706,3.64019623,0.002456776,-1.64E-07,2076.119175,6.885213552,0.002806776,8.31E-06,100,0,100,0,22.47,0.55,6.97,-0.11,0.54,-0.56,9.467387222,0.143995,0.210238333,0.002083889,355240839.5,9946647.904,9.65,-0.18,9.83,-0.06,4345.28,-58,0.18804,-0.02919,57.41373143,1.496095714,6.70198,-0.72764,6.38944,-0.70323,6.16363,-0.71687,5.19552,-0.61839,38.7,0,346965.08,-36.99,896559,0,29.46959,0.05385,90.43,0,166773.64,-4211.39,0.96417,-0.0002,1,0,1,0,2059,148,2.36028,0.04658,2.39261,0.02564,6.01333,0.296774286,1.508391429,-0.856882857,1.87959,-0.89745,1.32679,0.031,52.32228,-1.08312,50149.49581,12487.57106,8,0.063492063,38,38454327,0
Sri Lanka,88.39141,0.30275,92.48794,0.85862,5.6,-0.2,6.2,-0.3,6.8,-0.3,1975,-121,864,-55,1111,-66,8,-0.3,7.3,-0.3,6.5,-0.3,2326,-144,1303,-80,1023,-64,4.1,-0.2,1308,-79,64,0,0.32934,-0.23482,9.25828,-0.46908,547.37246,-2.35003,0.00885,-4.00E-05,22.79938,3.81884,954.06745,29.66977,0.01542,0.00048,134.51192,-5.16467,0.00217,-9.00E-05,250.06196,-6.97207,0.00404,-0.00011,99.8,0.2,100,0,46.13,-1.73,1.68,0.03,2,-0.92,0.547516111,0.012515,0.126660556,0.000633889,11675064.88,317672.6229,16.1,-0.08,16.2,0.77,685.51,9.98,506.30227,-18.10806,57.18444,12.99315714,24.7873,0.8048,23.87759,0.75474,22.95252,0.70049,23.14751,0.7151,34.21,-0.05,2116.18,-3.16,6186.45,0.05,43.6935,0,79.16,0,20.31,3.28,0.57407,-0.00491,0,0,1,0,115,5,0.06279,0.00197,0.1031,-0.00908,7.005764,0.009182,4.317982,0.009252,-0.22048,-2.53056,178.7449,16.28,35.81082,-0.30053,743.46623,-870.57778,0,0,61,21832143,1
Chad,50.49806,0.69005,12.29402,0.2399,62.5,-1.5,69.3,-1.7,75.7,-1.8,48167,205,21303,87,26864,118,121.1,-3.9,114.3,-3.7,107,-3.7,77923,-563,42188,-278,35735,-285,33.4,-0.6,23834,347,142,0,63.78279,-0.47949,6.56116,3.33339,1456.35649,45.55689,0.00116,4.00E-05,24.71835,1.07597,3161.16781,27.27187,0.00251,2.00E-05,0,0,0,0,0,0,0,0,8.4,-1.7,36.7,0.7,72.78,-0.35,3.99,-0.1,0.07,-2.45,1.474432778,0.009320556,2.010298333,0.014086667,23512600.35,835993.3232,9.38,-0.24,8.93,0.04,87.52,-2.13,68.10716,-0.47765,63.04687167,-0.39454,54.0054,-1.53589,41.15263,-1.45555,42.96511,-1.87937,38.73645,-1.43135,3.51,-0.09,4422,-113,125920,0,67.31271,0,91.25,-0.02,0,0,0.91406,-0.00016,0,0,1,0,8,2,0.01441,0.00075,0.01393,-0.00208,3.585733333,0.011458333,0.491415,0.01123,3.24718,0.87314,585.911,30.4645,48.02495,-3.96289,566.63895,105.74844,0,0,67,17723315,1
China,95.31737,0.60387,91.28814,1.59392,5.6,-0.4,5.9,-0.5,6.3,-0.5,88967,-19526,39135,-8506,49832,-11020,8.4,-0.7,8,-0.6,7.5,-0.6,125692,-22115,70459,-12520,55233,-9595,3.7,-0.4,54812,-8647,58,-3,0.29143,-0.08032,10.70871,0.69028,98908.38541,616.7052,0.01049,6.00E-05,7.50936,2.59733,71307.65233,1722.73407,0.00757,0.00019,12596.89253,201.33953,0.00134,2.00E-05,17592.73076,235.19832,0.00187,3.00E-05,100,0,100,0,14.33,0.78,6.31,-0.08,5.59,-0.65,3.813663889,0.126838889,0.381903333,-0.008172778,5467969098,204481301.9,27.9,-0.41,26.77,-1.07,2805.06,109.45,15.56728,-0.05677,39.19277714,0.827151429,40.16787,-2.48465,38.153,-2.38893,41.41693,-2.53444,31.12746,-2.09362,23.14,0.2,218098.61,1879.57,942470.29,0,10.07423,0,64,0.74,7598.88,9.68,0.73999,-0.00416,0,0,0,0,1949,78,13.14513,0.42503,10.74793,-0.02844,5.432201429,0.029227143,5.344914286,0.101931429,5.9505,-0.79927,6.9084,0.2924,32.05786,-1.20953,141225,2920,0,0,2,1425887337,1
Colombia,96.89252,0.15302,92.15109,0.86334,10.5,-0.3,11.8,-0.4,13,-0.5,8614,-214,3741,-96,4873,-118,15.1,-0.5,13.7,-0.4,12.2,-0.4,10009,-265,5645,-146,4364,-119,7.5,-0.2,5470,-119,35,2,3.04673,-0.22569,-5.24093,-0.38863,7053.163,-28.92718,0.00636,-2.00E-05,38.76494,7.80348,7250.22721,407.71851,0.00653,0.00036,334.56566,16.83307,0.0003,1.00E-05,468.13229,26.21254,0.00042,0.00002,99.4,0.9,100,0.1,31.5,0.93,2.44,0.13,1.31,0.67,1.287487222,0.0621,0.201488889,0.006017778,64811380.85,3957376.869,11.79,-0.23,10.93,-0.22,754.78,-4.79,372.50118,94.75952,65.45932143,-13.12005714,15.08804,-0.76675,14.03552,-0.68575,13.25904,-0.60886,13.14327,-0.61437,53.48,-0.18,59341.2,-199.28,110950,0,58.56208,3.03989,184.13,0,151.94,1.9,0.73769,-0.00182,0,0,0,0,1649,104,0.20768,-0.006,0.27254,0.01403,4.384788571,0.233587143,0.775864286,0.210677143,3.18686,0.62254,3280.83163,325.12766,28.53274,0.70285,13989.15403,2690.46126,0,0,28,51874024,1
Costa Rica,99.79753,0.01311,97.85322,0.18691,6.7,-0.3,7.2,-0.2,7.6,-0.2,478,-32,220,-15,258,-17,8.7,-0.3,8.2,-0.2,7.7,-0.2,550,-33,298,-19,252,-14,5.8,-0.2,379,-28,10,0,0.18107,-0.02522,-10.1311,0.4517,40.57967,0.20396,0.00079,0,101.05375,11.77131,129.28821,7.56958,0.00253,0.00015,82.43744,1.08969,0.00161,2.00E-05,91.65331,2.13923,0.0018,5.00E-05,99.7,0,99.9,0,33.42,0.29,1.97,0.06,1.54,-0.12,1.695282222,0.040776111,0.137678333,0.001818889,8557039.798,285433.088,11.84,0.07,12.05,0.13,1498.86,31.13,4.03481,-0.05294,76.87098,-5.173831429,15.06122,-0.89202,14.69544,-0.89685,14.22798,-0.90358,13.87021,-0.90331,59.12,0.32,3018.5,16.37,5106,0,43.93192,0.09588,196,0,34.51,-4.92,0.81511,-0.00166,1,0,1,0,182,7,0.06239,0.00359,0.09088,-0.0014,5.748223333,0.349431667,1.228681667,0.283606667,2.41751,-0.19839,587.2946,10.3221,45.69709,-2.01826,2812.26129,325.08089,0,0,124,5180829,0
Croatia,88.03368258,0.342915385,96.15083,0.0102,3.6,-0.1,4,0,4.4,0,148,-2,65,-1,83,-1,5.1,0,4.7,-0.1,4.3,-0.1,175,-3,97,-2,78,-1,2.9,0,107,-3,8.3,-1.7,0,0,6.45966,0.28242,225.97564,0.59948,0.00404,1.00E-05,48.07241,4.56739,227.22309,7.00885,0.00406,0.00013,47.32299,-0.23204,0.00085,0,52.0438,0.01031,0.00093,0,100,0,100,0,31.6,-1.23,3.01,-0.07,4.19,0.6,1.635037222,-0.024679444,0.120843889,-0.006223889,6753192.989,-145263.5536,12.52,-0.2,11.9,-0.4,1734.05,43.25,574.9279,-3.27261,79.73261,0.371342857,15.48858,-3.7364,15.28803,-3.68822,15.80971,-3.75929,15.09122,-3.64198,34.6,0.04,1936.61,2.5,5596.4,0,80.77662,0,173.38,0.63,2048.58,0.06,0.89555,-6.00E-05,0,0,1,0,50,4,0.09036,0.00134,0.14563,0.00332,6.38968,-0.02186,3.363665,-0.71658,3.42101,0.62033,6.62255,0.34352,72.74421,-0.43825,396.50638,-806.92258,2,0.015873016,130,4030358,1
Cyprus,99.76519,1.00E-05,99.39582,-4.00E-05,2.1,0,2.3,0,2.5,0,30,0,14,1,16,-1,3,0,2.8,0,2.6,0.1,37,0,21,0,16,0,1.6,0,21,0,6.2,1.4,0,0,11.94001,-8.34492,6.72055,-0.501,0.00073,-0.00005,8.25826,-0.18597,12.69684,-0.02181,0.00137,-0.00001,3.37452,-0.27514,0.00037,-0.00002,4.28107,-0.20605,0.00046,-0.00003,100,0,100,0,11.97,-0.05,2.59,-0.12,5.63,1.2,4.244233889,-0.184370556,0.215011111,-0.014787222,5087029.322,-179741.0916,5.58,0.12,5.45,0.12,1134.93,73.51,0,-0.57194,71.00627714,-1.881565714,15.46381,-0.944,14.51621,-0.86681,14.5523,-0.88315,13.01427,-0.75092,18.67,-0.01,172.55,-0.02,924,0,74.28598,1.83059,41.26,0.64,0,0,0.99173,-0.00013,0,0,1,0,106,6,0.01816,-0.00768,0.0472,-0.00737,5.67833,-0.040581429,2.625155714,-0.727542857,5.52943,-0.11843,0.8933,0.0465,48.48811,-13.50089,34362.23377,34775.71296,0,0,159,1251489,0
Czechia,99.88047,0.00011,99.13713,-0.00022,2.1,-0.1,2.4,-0.1,2.7,-0.1,269,-13,114,-5,155,-8,3.4,-0.1,3,-0.1,2.6,-0.1,335,-14,192,-8,143,-6,1.6,0,174,-8,5,0.3,0,0,11.10579,0.28206,353.90828,0.89846,0.00458,1.00E-05,34.34056,1.31423,109.13238,1.06762,0.00141,0.00001,165.79686,-0.15052,0.00215,0,177.40207,0.13277,0.0023,0,100,0,100,0,15.88,1.16,4.09,-0.19,3.01,-0.18,6.456262,0.022782,0.315474,-0.00834,68028797.31,254692.1896,25.28,0.4,22.62,-0.05,5173.91,230.38,11.06359,-0.66643,66.20234286,-0.77816,14.89686,-3.26774,14.34125,-3.16224,14.8192,-3.25434,13.55732,-3.01536,34.65,0.02,2675.28,1.81,7720.55,-0.45,94.71397,0,162.36,0.87,1820.34,-14.36,0.9706,7.00E-05,0,0,1,0,336,38,1.04725,0.01275,0.92586,-0.00587,5.02596,0.085438571,2.455035714,-0.48658,3.02988,-0.19021,22.93225,1.20233,149.74054,-5.63944,10108.40697,-901.95699,0,0,89,10493986,0
Benin,66.67227,0.22007,18.62985,0.63005,52,-1.3,58,-1.5,63.8,-1.5,26415,-213,11617,-111,14798,-102,94.7,-2.6,88.6,-2.5,82.1,-2.4,39723,-351,21670,-172,18053,-179,30.2,-0.5,13958,-13,55,-1,51.02243,-0.85457,-1.4397,-0.97558,279.06441,-2.76225,0.00247,-3.00E-05,123.85576,4.25218,183.63133,3.48811,0.00163,3.00E-05,0.9696,0.00584,0.00001,0,3.02848,0.00478,0.00003,0,40,1,65.2,0.9,46.47,2.5,5.69,-0.36,3.82,0.2,0.765922778,-0.004954444,0.637922222,-0.029827778,9038771.077,185231.2826,9.85,0.39,9.87,0.71,113.56,8.5,5.78302,0.34336,78.16045833,0.410633333,31.77874,-0.69925,31.51453,-0.82291,30.79678,-0.73107,31.27388,-0.93537,28.25,-0.44,3185.15,-50,11276,0,66.6644,0,103.56,0,0,0,0.90559,6.00E-05,0,0,1,0,124,15,0.01605,-0.00106,0.02033,-0.00174,4.07282,0.096364,0.491304,0.000162,6.86569,0.16843,585.91101,30.46455,48.52802,-5.59328,218.20787,24.13419,0,0,77,13352864,0
Denmark,100,0,99.59723,0,3,0,3.3,0,3.5,-0.1,197,-5,87,-2,110,-3,4.1,-0.1,3.8,-0.1,3.4,-0.1,228,-5,127,-3,101,-2,2.6,-0.1,159,-6,5.2,-0.2,0,0,8.2203,-0.26539,431.26827,-1.0576,0.01078,-3.00E-05,27.74414,0.98677,87.68341,0.67732,0.00219,0.00001,0,0,0,0,0,0,0,0,100,0,100,0,37.29,2.73,2.01,-0.13,0.98,-0.49,3.280976667,-0.11832,0.056085,-0.003471667,18937400.82,-615798.936,14.17,0.49,13.41,0.32,8134.04,360.62,0.08528,0.08528,64.87361571,-3.691938571,10.11519,-0.37678,9.65653,-0.35866,9.57146,-0.36382,8.7981,-0.32927,15.69,0.03,627.5,0.94,4000,0,88.63242,0,112.93,0.17,280.45,11.51,0.97391,3.00E-05,1,0,1,0,561,39,0.58417,0.02305,0.50774,-0.01073,6.397928571,-0.432254286,3.457962857,-2.824517143,1.49349,-0.49605,6.66945,0.35483,60.39272,0.85644,7072.70033,5357.47412,0,0,115,5882262,0
Dominican Republic,96.14011,0.17591,87.20311,0.5021,25.7,-0.3,28.3,-0.3,30.7,-0.3,5961,-109,2656,-50,3305,-59,37.2,-0.5,34.3,-0.5,31.2,-0.4,7250,-135,4021,-72,3229,-63,23.9,-0.3,5021,-137,42,-3,2.16788,-0.12009,56.19302,-1.87233,407.69405,-4.88713,0.00844,-0.0001,49.92522,5.38025,104.84504,3.76249,0.00217,8.00E-05,49.1813,0.46719,0.00102,0.00001,73.47529,1.69242,0.00152,3.00E-05,99,0.1,99.6,0,14.89,-1.06,2,-0.06,3.93,-1.88,1.355574444,0.049370556,0.163061667,-0.000283889,14557440.62,676213.9611,13.52,-0.33,13.76,-0.38,1109.26,15.87,4.99091,0.63059,42.91727333,-10.16908095,7.76331,-0.42449,7.58534,-0.41952,7.25471,-0.41298,7.1027,-0.40436,44.21,0.16,2136.01,8.09,4831,0,76.92101,0,82.7,0,0.36,0,0.7335,-0.00166,0,0,0,0,45,2,0.05886,0.00444,0.10481,0.0029,8.418888333,1.814143333,1.792131667,0.384626667,5.05217,-1.93036,51.2949,1.7849,35.37277,-0.66821,3021,485.7,0,0,84,11228821,0
Ecuador,95.01122,0.34895,90.00324,0.8726,10.1,-0.4,11.5,-0.5,12.9,-0.4,3452,-121,1483,-52,1969,-69,14.9,-0.5,13.4,-0.5,11.9,-0.4,4014,-147,2277,-83,1737,-64,6.8,0,2036,-11,46,2,1.89323,-0.42256,9.82997,-0.81089,1664.5363,-12.28948,0.0067,-5.00E-05,86.15148,22.16165,1314.63822,156.50993,0.00529,0.00063,68.15178,-5.23047,0.00027,-0.00003,108.52878,-3.17577,0.00044,-1.00E-05,99.1,0.4,99.8,0.1,17.73,1.4,3.27,0.17,-1.88,-1.27,1.247527222,-0.003878333,0.213025,0.002782222,21674107.53,294650.4271,14.42,-0.12,14.67,0.72,845.83,-23.25,9.4003,1.12207,56.12477333,-7.094529524,16.90774,0.18854,16.54855,0.16625,16.13596,0.15637,16.18955,0.14384,50.58,-0.26,12562.1,-64.27,24836,0,28.0746,0.36213,177.02,0,58.67,1.2,0.6812,-0.00587,1,0,1,0,115,3,0.11743,0.0068,0.11669,-0.00026,5.378615714,0.252314286,2.60638,0.193177143,0.01211,-1.27718,1,0,41.52606,-0.12898,974.5175,-414.17926,0,0,68,18001000,1
El Salvador,97.82035,0.43814,86.82161,0.30795,10.3,-0.4,11.5,-0.4,12.6,-0.4,1189,-60,522,-27,667,-33,14.6,-0.5,13.3,-0.5,12,-0.4,1394,-73,782,-41,612,-32,6.5,-0.3,676,-29,58,-12,0.7821,-0.3452,1.6712,1.08347,158.72578,1.69146,0.00766,8.00E-05,10.54486,-4.03552,59.4838,-2.17151,0.00287,-0.00011,65.33662,1.18045,0.00315,5.00E-05,147.25534,-0.08947,0.00711,0,97.4,0.4,98.8,0.1,19.38,-3.83,3.38,0.11,2.37,0.12,0.917751111,0.008513889,0.229826667,-0.002101667,5922757.124,84782.14736,15.66,-0.07,15.56,-0.13,642.78,11.92,661.35905,145.49057,72.038055,-5.158585,22.75701,-1.21152,22.15224,-1.20435,21.50934,-1.19345,20.42347,-1.19095,28.4,-0.21,588.38,-4.5,2072,0,28.04566,0.00288,113.61,0,0,0,0.80773,-0.00138,1,1,1,0,68,4,0.03106,0.00085,0.06,0.00215,8.730891667,2.184771667,3.412045,2.197431667,2.43747,0.02503,1,0,65.12745,-1.62287,636.16,-189.85,0,0,112,6336392,1
Estonia,99.98729,0.02413,99.07716,0.00448,1.6,-0.1,1.8,-0.1,2,-0.1,25,-2,11,-1,14,-1,2.5,-0.2,2.3,-0.2,2.1,-0.1,32,-3,18,-2,14,-1,1,-0.1,14,-2,13,0,0,0,-0.18612,0.00665,2018.0378,0.13446,0.04642,0,35.18251,9.49788,123.17886,8.6545,0.00283,0.0002,0,0,0,0,0,0,0,0,100,0,100,0,31.34,2.75,4.1,-1,3.36,-0.06,11.309066,-1.346556,0.558216,-0.087438,15007574.4,-1725027.8,13.69,-0.27,13.1,-0.37,2772.5,35.46,20.61142,-0.59177,77.06569,-1.430484286,6.6124,-0.3709,6.35007,-0.35451,6.56649,-0.36723,5.79388,-0.32487,57.04,0,2438.4,0,4275,0,94.86216,0.0049,115.87,0,1646.66,44.49,0.98553,0,0,0,1,0,51,2,0.08468,-0.00237,0.09321,-0.00336,7.783451429,0.094538571,4.276091429,-0.58048,3.73971,-0.04449,0.89328,0.04651,109.7938,-8.27095,3184.01594,1666.57589,0,0,157,1326062,0
Fiji,95.38331,0.03504,93.70994,0.22398,20.7,0.4,22.6,0.5,24.5,0.6,419,4,185,2,234,2,29.1,0.8,26.9,0.6,24.7,0.6,502,5,280,3,222,2,12.9,0.7,238,10,66,12,0.08481,-0.0214,-9.84909,-0.41818,7.42113,-0.03442,0.00041,0,152.20549,25.41031,23.64411,2.3822,0.00129,0.00013,3.19121,0.12755,0.00017,0,4.79801,0.29296,0.00026,1.00E-05,96.1,1,97.1,0.2,26.48,0.68,2.15,0.03,-0.52,-4.04,0.816084444,-0.013781667,0.137943889,-0.002007778,726277.8919,-6900.498683,10.14,-0.18,10.31,-0.08,574.91,-13.14,64.33129,-9.07713,66.937488,23.22091967,8.14282,-0.22658,7.36073,-0.15912,8.14282,-0.22658,7.23214,-0.14789,62.03,0.36,1133.34,6.68,1827,0,11.17772,0,202.88,-0.08,83.25,-2.14,0.70031,-0.00195,0,0,1,0,50,1,0.00543,0.0001,0.01414,0.00042,16.017714,8.47995,6.177348,1.891762,-0.58195,-4.3943,2.1604,0.073,68.71987,1.335,321.00641,-149.96677,0,0,163,929766,1
Finland,100,0,99.44797,0,1.7,0,1.9,0,2,-0.1,87,-6,39,-2,48,-4,2.5,0,2.3,0,2.1,0,108,-8,60,-5,48,-3,1.3,-0.1,61,-3,4.7,-0.1,0,0,5.31324,0.1416,22366.49391,30.07251,0.07359,0.0001,23.54933,6.85825,1731.52006,96.11715,0.0057,0.00032,7275.7866,7.21586,0.02394,2.00E-05,7443.69307,11.98294,0.02449,4.00E-05,100,0,100,0,45.6,1.3,5.19,-0.18,1.11,0.1,12.596364,-1.198178,0.273134,-0.02931,69551296.88,-6531965.25,15.04,0.28,14.41,-0.18,6936.57,204.71,0,-0.09061,71.13315429,0.408985714,6.20723,-0.1773,5.46669,-0.10409,6.02627,-0.15667,5.05947,-0.06756,73.73,0,22409,0,30393,1,71.75563,0.00217,59.77,0,18082.22,-79.21,0.98998,0,1,0,1,0,126,9,0.38638,-0.00171,0.3812,-0.01551,4.934462857,0.057594286,3.631297143,-0.791957143,1.22475,0.08503,0.89328,0.04651,54.81409,-1.22092,13456.08748,15627.86453,0,0,118,5540746,0
